time_ms,cpu_usage,queue_length,active_workers
18899,170,26,8
18909,170,27,8
18922,170,27,8
18934,170,28,8
18947,170,28,8
18959,170,29,8
18970,170,26,8
18982,170,27,8
18996,170,28,8
19007,140,23,8
19020,140,24,8
19032,140,24,8
19043,140,25,8
19054,140,25,8
19066,140,26,8
19078,140,26,8
19089,140,27,8
19100,140,27,8
19113,140,28,8
19126,140,28,8
19139,140,29,8
19149,140,29,8
19159,140,30,8
19171,170,27,8
19182,170,28,8
19193,170,28,8
19206,110,23,8
19217,110,24,8
19228,110,25,8
19241,110,25,8
19253,110,26,8
19265,110,26,8
19277,110,27,8
19290,110,27,8
19301,110,28,8
19314,110,28,8
19326,110,29,8
19338,110,29,8
19349,110,30,8
19359,110,30,8
19372,140,29,8
19382,170,28,8
19393,170,29,8
19406,170,24,8
19417,170,25,8
19428,170,26,8
19441,170,26,8
19451,170,27,8
19462,170,27,8
19474,170,28,8
19485,170,28,8
19498,170,28,8
19509,170,29,8
19522,170,30,8
19533,170,30,8
19546,170,31,8
19557,170,31,8
19569,170,32,8
19579,110,29,8
19591,110,30,8
19602,110,30,8
19612,170,26,8
19624,170,26,8
19637,170,27,8
19649,170,27,8
19659,170,28,8
19672,170,28,8
19683,170,29,8
19696,170,30,8
19709,170,30,8
19722,170,31,8
19732,170,31,8
19743,170,32,8
19756,170,32,8
19767,170,33,8
19778,170,31,8
19789,140,31,8
19800,140,31,8
19811,170,27,8
19824,170,27,8
19835,170,28,8
19848,170,28,8
19859,170,29,8
19872,170,29,8
19883,170,30,8
19896,170,31,8
19907,170,31,8
19919,170,32,8
19932,170,32,8
19943,170,33,8
19956,170,33,8
19967,170,34,8
19978,170,33,8
19991,170,32,8
20001,170,32,8
20012,140,28,8
20024,140,28,8
20035,140,29,8
20048,140,29,8
20059,140,30,8
20072,140,30,8
20083,140,31,8
20094,140,31,8
20105,140,32,8
20115,140,32,8
20126,140,33,8
20139,140,34,8
20150,140,34,8
20161,140,35,8
20174,140,35,8
20185,170,34,8
20197,170,33,8
20209,170,32,8
20222,110,29,8
20232,110,30,8
20244,110,30,8
20256,110,30,8
20267,110,31,8
20278,110,31,8
20290,110,32,8
20302,110,33,8
20312,110,33,8
20323,110,33,8
20335,110,34,8
20346,110,34,8
20359,110,35,8
